original,forecast
2024-01-01,556414.9047782476
2024-04-01,579093.3385220772
2024-07-01,489657.1543901386
2024-10-01,494599.7952998649
2025-01-01,578546.2121848206
2025-04-01,617657.0737261665
2025-07-01,523051.9030065374
2025-10-01,524985.9906280908
2026-01-01,601148.5378775334
2026-04-01,648122.580941844
2026-07-01,559838.1022375824
2026-10-01,559229.8343124004
2027-01-01,629373.9542329488
2027-04-01,677278.3850701664
2027-07-01,593152.753936512
2027-10-01,593150.0129014424
2028-01-01,660562.8691094002
2028-04-01,707420.399512471
2028-07-01,624823.6776885447
2028-10-01,625941.9937689374
2029-01-01,692623.6457888095
2029-04-01,738546.5718506167
2029-07-01,656185.0052135675
2029-10-01,657991.2123720386
2030-01-01,724699.6330125926
2030-04-01,770171.9705756892
2030-07-01,687671.2330967976
2030-10-01,689740.698772677
2031-01-01,756612.604532554
2031-04-01,801953.4233959387
2031-07-01,719308.2511242083
2031-10-01,721426.6123685315
2032-01-01,788407.9945785961
2032-04-01,833745.6542827245
2032-07-01,751026.6070045804
2032-10-01,753127.2085404259
2033-01-01,820153.0893082097
2033-04-01,865514.5643078751
2033-07-01,782772.240147335
2033-10-01,784850.6961237644
2034-01-01,851886.1470493464
2034-04-01,897264.9677646997
2034-07-01,814520.925108601
2034-10-01,816587.348840697
2035-01-01,883620.7099907578
2035-04-01,929006.9945247517
2035-07-01,846266.3531798156
2035-10-01,848328.7131118496
2036-01-01,915358.712541879
2036-04-01,960746.8036199576
2036-07-01,878008.8905013036
2036-10-01,880070.7791674152
2037-01-01,947098.8320483133
2037-04-01,992486.7139548481
2037-07-01,909750.0429827088
2037-10-01,911812.4052441388
2038-01-01,978839.7569507849
2038-04-01,1024227.1343770582
2038-07-01,941490.7954291021
2038-10-01,943553.5834899966
2039-01-01,1010580.8282448744
2039-04-01,1055967.8928866107
2039-07-01,973231.5411558961
2039-10-01,975294.5344149293
2040-01-01,1042321.8428837624
2040-04-01,1087708.7877883061
2040-07-01,1004972.3613556003
2040-10-01,1007035.4143917838
2041-01-01,1074062.7887658398
2041-04-01,1119449.7115223894
2041-07-01,1036713.2351724135
2041-10-01,1038776.2895568097
2042-01-01,1105803.6975896782
2042-04-01,1151190.6284993812
2042-07-01,1068454.131890806
2042-10-01,1070517.175388324
2043-01-01,1137544.5940062476
2043-04-01,1182931.5350246252
2043-07-01,1100195.0340742238
2043-10-01,1102258.0696612508
2044-01-01,1169285.4890477876
2044-04-01,1214672.4355494005
2044-07-01,1131935.935561014
2044-10-01,1133998.9677493013
2045-01-01,1201026.3855800652
2045-04-01,1246413.3339303115
2045-07-01,1163676.8354768541
2045-10-01,1165739.8668448664
2046-01-01,1232767.2834311791
2046-04-01,1278154.23199388
2046-07-01,1195417.7344276453
2046-10-01,1197480.7658925608
2047-01-01,1264508.1819131328
2047-04-01,1309895.1302590417
2047-07-01,1227158.6330118664
2047-10-01,1229221.664707198
2048-01-01,1296249.0805769183
2048-04-01,1341636.0287285622
2048-07-01,1258899.531529762
2048-10-01,1260962.5633676844
2049-01-01,1327989.9792434864
2049-04-01,1373376.927301654
2049-07-01,1290640.4300736568
2049-10-01,1292703.461966078
2050-01-01,1359730.8778760126
2050-04-01,1405117.8259070076
2050-07-01,1322381.3286489353
2050-10-01,1324444.3605513927
2051-01-01,1391471.7764840876
2051-04-01,1436858.7245145098
2051-07-01,1354122.2272411017
2051-10-01,1356185.2591398167
2052-01-01,1423212.6750817345
2052-04-01,1468599.6231171333
2052-07-01,1385863.1258389116
2052-10-01,1387926.1577330125
2053-01-01,1454953.5736769
2053-04-01,1500340.5217159062
2053-07-01,1417604.024437341
2053-10-01,1419667.056328943
